,Ab_Debris,Ab_Others,Ab_CD3-CD16-CD19-,Ab_CD3+CD4-CD8-,Ab_CD3+CD4+CD8-,Ab_CD3+CD4-CD8+,Ab_CD3+CD4+CD8+,Ab_CD3-CD16+CD56+,Ab_CD3+CD16+CD56+,Ab_CD3-CD19+,Lymph Events,CD3+,CD3+CD4+,CD3+CD8+,CD3+CD4+CD8+,CD3-,CD16+CD56,CD19+,%T-sum,CD4/CD8 Ratio,LymphSum
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909012_2_Lot_2,3.86824324,71.18243242999999,0.0,0.46452702999999995,10.83614865,7.795608110000001,0.12668918999999998,1.19087838,0.0,4.53547297,0.25,77.02,43.42,31.23,0.51,0.0,4.77,18.17,1.35,1.39,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909017_1_Lot_1,6.27368421,64.44210526,0.0,0.38947368,16.694736839999997,2.2736842100000003,0.06315789000000001,3.26315789,0.0,6.6000000000000005,0.29,66.3,56.99,7.76,0.22,0.0,11.14,22.53,1.11,7.34,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909017_2_Lot_1,2.36018471,67.14212416999999,0.0,0.93381221,8.47614161,8.927655210000001,0.07183171000000001,6.3314520299999995,0.0,5.7567983599999994,0.3,60.34,27.78,29.26,0.24,0.0,20.75,18.87,2.82,0.95,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909019_1_Lot_2,4.36406526,66.69942992,0.0,0.78631807,11.50973069,11.23451936,0.43247494000000003,2.03459799,0.0,2.93886377,0.29,82.78,39.76,38.81,1.49,0.0,7.03,10.15,1.23,1.02,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909019_2_Lot_2,7.709914469999999,54.61992530999999,0.0,0.84327189,13.04662089,15.6728105,0.42163595,4.433200820000001,0.0,3.25262017,0.38,79.58,34.62,41.59,1.12,0.0,11.77,8.63,1.13,0.83,99.98
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909024_1_Lot_2,6.561168589999999,58.53925746,0.0,1.78940962,17.516737669999998,9.82349361,0.17041996,2.3006695099999996,0.0,3.29884358,0.35,83.93,50.18,28.14,0.49,0.0,6.59,9.45,4.63,1.78,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909024_2_Lot_2,2.79410435,70.53983181,0.0,0.59679899,10.3626006,7.97540465,0.0994665,2.9659101199999998,0.0,4.66588299,0.27,71.35,38.85,29.9,0.37,0.0,11.12,17.49,1.86,1.3,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190904_1_Lot_1,6.9038447000000005,55.51778835,0.0,2.22826497,15.552534179999999,11.57942443,0.17372913,2.99116247,0.0,5.08346552,0.38,78.51,41.34,30.78,0.46,0.0,7.95,13.51,5.47,1.34,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190904_1_Lot_2,7.1536829299999996,55.90330403,0.0,1.8187329499999998,15.951803580000002,11.35192483,0.23491966999999997,2.39466505,0.0,5.19096696,0.37,79.45,43.17,30.72,0.64,0.0,6.48,14.05,4.28,1.41,99.98
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190904_2_Lot_1,7.4984283,63.742355829999994,0.0,0.58867234,10.41892896,10.93330285,0.41721438,4.926558839999999,0.0,1.48596902,0.29,77.68,36.2,37.99,1.45,0.0,17.12,5.16,0.59,0.95,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190904_2_Lot_2,9.617180209999999,62.67369693,0.0,0.64810238,10.18838908,10.50694788,0.36249794,4.75091998,0.0,1.25226561,0.28,78.31,36.76,37.91,1.31,0.0,17.14,4.52,1.02,0.97,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB__20190827_1_Lot_1,9.65735962,61.221317080000006,0.0,1.13798893,13.63721162,7.31919657,0.22386667000000002,1.08824078,0.0,5.71481873,0.29,76.61,46.81,25.12,0.77,0.0,3.74,19.62,3.14,1.86,99.97
